theta0,phi0,mtheta0,mphi0,omega_theta,omega_phi,drift_theta,drift_phi
0.0,0.07367993877991494,0.20047978898398058,3.6312244399143916,2.1961943238484514,4.3538002259032105,1.0074517946957747e-09,1.7413440225648604e-07
0.0,0.07367993877991494,0.21718643806597893,3.449364584561586,2.1978146223590214,4.3538259109914135,7.400821306420764e-10,3.0501855942471246e-07
0.0,0.07367993877991494,0.23389308714797732,3.2415161807030284,2.1994374509234675,4.353850732227331,1.2239891455301708e-06,2.2320253980634727e-07
0.0,0.07367993877991494,0.25059973622997567,3.002286507085403,2.201058100066051,4.353881032119649,2.46230979605128e-10,4.482815089851821e-08
0.0,0.07367993877991494,0.2673063853119741,2.7234183299357944,2.2026812748882407,4.3539134121304475,5.643031315364589e-10,3.2926219103993425e-07
0.0,0.07367993877991494,0.28401303439397246,2.3910827123646663,2.2043060082115087,4.353944467075751,4.048967150934787e-07,1.5007135556468466e-07
0.0,0.07367993877991494,0.30071968347597083,1.978517546862741,2.205930512449848,4.353980996758531,3.6583353304968606e-10,1.6563943887287176e-07
0.0,0.07367993877991494,0.31742633255796926,1.4173118349375453,2.2075565783540614,4.354018197706973,1.9449401864635877e-10,1.7503920584340607e-07
0.0,0.09735987755982987,0.0,4.503924110698666,0.0,2.1768275276438467,0.0,6.028442948897412e-10
0.0,0.09735987755982987,0.021890453644481056,4.498290682464333,2.1789352363437855,4.353657238400117,8.534673238855505e-08,1.5696422835309657e-07
0.0,0.09735987755982987,0.04378090728896211,4.481347907826778,2.181043728963315,4.353662447669422,1.7037862913448307e-07,1.7267885638672487e-07
0.0,0.09735987755982987,0.06567136093344317,4.452966698286299,2.1831557506653434,4.3536710758863055,2.4201222725568038e-09,1.708104958883704e-07
0.0,0.09735987755982987,0.08756181457792422,4.412926364572091,2.1852686158193895,4.353683149598068,4.549322882380529e-09,1.7166063855056014e-07
0.0,0.09735987755982987,0.10945226822240528,4.360905768329496,2.1873832602626337,4.353698670443694,1.131648828058308e-09,1.7491419400512134e-07
0.0,0.09735987755982987,0.13134272186688634,4.296469769402412,2.1894995380715847,4.353717646768013,4.2271074914043957e-10,1.7427037933709885e-07
0.0,0.09735987755982987,0.1532331755113674,4.2190495584377175,2.1916159120546204,4.353740070751891,1.3674950463665642e-06,1.7348682438940894e-07
0.0,0.09735987755982987,0.17512362915584845,4.1279146323226605,2.1937377405180545,4.353765942810156,1.5835248396373423e-07,1.7487165128827994e-07
0.0,0.09735987755982987,0.1970140828003295,4.022132840292434,2.1958583213784464,4.353795266500547,6.934671897941832e-10,1.7444140133048964e-07
0.0,0.09735987755982987,0.21890453644481056,3.9005126965822807,2.197981307134763,4.353828716601025,4.1602622906076476e-10,3.304063149113153e-07
0.0,0.09735987755982987,0.24079499008929162,3.7615182234658393,2.200107011195778,4.3538629972803085,1.1238907591504784e-06,1.1500988421301256e-07
0.0,0.09735987755982987,0.26268544373377267,3.603139288558933,2.2022322199789395,4.353904247421625,7.982619668751256e-10,2.4948626262329903e-07
0.0,0.09735987755982987,0.28457589737825373,3.422686000508033,2.204359971420727,4.353945663637365,4.1129699291703273e-07,1.3941858605243274e-07
0.0,0.09735987755982987,0.3064663510227348,3.2164451684143027,2.2064897299238906,4.353993593301076,2.4972501347157304e-10,1.744735450955424e-07
0.0,0.09735987755982987,0.32835680466721584,2.979065780204104,2.2086209631523186,4.354043598653385,5.000693419509309e-10,1.7397856600767768e-07
0.0,0.09735987755982987,0.3502472583116969,2.7023544664191994,2.210753797394792,4.354097048049607,2.6864662309667302e-09,1.7425336383624337e-07
0.0,0.09735987755982987,0.372137711956178,2.3725892479723156,2.212888185080111,4.354153943734801,1.4453841398904352e-09,1.7355016059026178e-07
0.0,0.09735987755982987,0.394028165600659,1.963215004791179,2.2150242589561886,4.354214280424318,1.2129617581971686e-10,1.7354596167624903e-07
0.0,0.09735987755982987,0.4159186192451401,1.406349852812572,2.217161956504388,4.354278062966856,4.7228652304894637e-11,1.7246503846056983e-07
0.0,0.12103981633974481,0.0,4.458730053184932,0.0,2.1768275276734625,0.0,5.727113624801338e-10
0.0,0.12103981633974481,0.026918352315609143,4.453153152874553,2.179418764722821,4.353658154102199,1.6105609879940735e-07,1.719669356371319e-07
0.0,0.12103981633974481,0.053836704631218285,4.436380388368739,2.1820146623121883,4.353665983389764,1.530834995795919e-07,1.7211174208635526e-07
0.0,0.12103981633974481,0.08075505694682743,4.408283966490031,2.1846114375645143,4.353679023411803,7.794028529772096e-09,1.6753288457779137e-07
0.0,0.12103981633974481,0.10767340926243657,4.368645412446234,2.1872113603104872,4.353697279697795,1.0288051159562154e-09,1.7502250583428033e-07
0.0,0.12103981633974481,0.1345917615780457,4.317146810304938,2.189813783253133,4.353720758220191,1.1597655998830922e-10,1.739039168566012e-07
0.0,0.12103981633974481,0.16151011389365486,4.25335738626897,2.1924197101316834,4.353749447794379,5.901120351148765e-07,1.7474248196098163e-07
0.0,0.12103981633974481,0.188428466209264,4.176714038630803,2.195026125030647,4.3537833543706705,2.4552358248353733e-10,1.7472749766869329e-07
0.0,0.12103981633974481,0.21534681852487314,4.086493594418886,2.1976361596530185,4.353822931472383,1.134029904808935e-09,2.779905161450825e-07
